student_id,branch,gender,year,cgpa,attendance_pct,aptitude_score,technical_score,communication_score,projects_count,internships_count,cert_count,extracurricular_score,mock_interview_score,softskill_rating,is_placed,placed_role
S0097,CE,M,3,8.3,79,98,57,61,1,0,2,44,73,68,0,NA
S0098,EC,F,4,6.94,71,63,100,54,2,1,0,92,80,67,1,IT Support
S0099,ME,M,4,7.12,82,56,47,46,0,0,0,35,39,47,0,NA
S0100,EC,M,4,7.83,93,39,76,80,3,0,0,35,84,58,1,DevOps
S0101,CE,M,3,6.51,91,48,63,83,1,1,1,53,59,64,0,NA
S0102,IT,M,2,7.57,92,68,90,53,1,1,2,64,58,49,1,QA
S0103,EC,F,3,5.66,90,41,20,56,4,1,0,100,32,89,0,NA
S0104,EC,M,4,7.77,88,58,87,61,0,0,0,44,74,54,0,NA
S0105,ME,M,3,7.47,93,88,77,62,1,0,0,33,70,52,0,NA
S0106,CS,M,3,5.7,78,20,62,63,0,0,1,44,54,52,0,NA
S0107,EC,F,4,7.65,81,59,63,53,3,0,1,63,45,55,0,NA
S0108,ME,F,2,6.13,82,43,27,60,1,0,1,75,53,59,0,NA
S0109,CS,M,2,6.02,86,59,69,62,2,0,0,40,79,42,0,NA
S0110,ME,F,3,6.13,68,82,56,48,1,0,1,80,50,73,0,NA
S0111,CS,M,3,8.24,87,90,100,67,0,0,1,44,79,57,1,QA
S0112,IT,F,4,6.7,97,48,39,65,0,0,0,83,66,81,0,NA
S0113,ME,F,3,8.11,98,51,62,63,2,0,2,41,63,54,0,NA
S0114,CS,M,2,8.25,90,58,78,70,0,0,1,55,80,63,1,IT Support
S0115,CS,F,3,7.28,82,71,81,76,3,1,2,48,86,73,1,IT Support
S0116,IT,F,3,7.83,85,67,68,72,0,0,2,71,72,97,1,QA
S0117,EC,M,2,9.31,91,81,95,56,1,0,2,69,90,58,1,Data Analyst
S0118,ME,M,3,9.17,88,57,86,82,1,1,0,47,74,70,0,NA
S0119,EC,M,2,6.05,73,53,44,43,3,0,1,18,25,43,0,NA
S0120,ME,M,2,7.68,76,100,63,61,2,0,1,46,61,66,1,Data Analyst
S0121,IT,M,4,7.33,80,77,84,65,1,0,1,89,80,63,0,NA
S0122,CE,M,4,6.48,100,80,72,58,2,0,0,40,48,37,1,QA
S0123,CE,F,2,7.64,67,73,66,53,2,1,1,28,59,58,1,QA
S0124,ME,M,3,8.4,92,77,53,63,2,0,0,48,47,47,0,NA
S0125,EC,F,4,6.66,75,58,91,57,0,1,0,59,44,66,1,Data Analyst
S0126,CS,F,3,7.75,85,79,71,59,0,0,1,47,51,58,0,NA
S0127,IT,M,3,7.97,84,45,91,54,2,0,2,43,77,66,1,QA
S0128,CE,M,2,6.43,55,68,77,26,2,0,2,39,43,38,1,SDE
S0129,IT,M,2,7.02,75,66,94,70,2,0,2,54,81,54,0,NA
S0130,IT,F,4,7.32,100,71,53,51,2,0,0,82,56,80,0,NA
S0131,CE,F,3,7.05,97,66,80,70,1,1,1,43,68,51,0,NA
S0132,CE,F,4,6.54,89,93,43,55,3,0,0,88,46,81,1,Data Analyst
S0133,IT,M,4,7.53,82,94,72,49,3,0,2,71,59,37,0,NA
S0134,CS,F,3,6.5,79,75,71,57,0,0,1,52,78,69,0,NA
S0135,EC,F,3,7.4,97,67,69,66,1,0,0,44,62,60,0,NA
S0136,CE,F,4,8.37,71,73,100,51,0,0,4,46,60,56,0,NA
S0137,EC,F,3,8.17,100,68,54,74,1,1,0,57,57,64,0,NA
S0138,EC,F,2,7.28,89,59,80,65,1,1,1,66,66,73,0,NA
S0139,EC,M,2,7.84,78,55,71,32,1,0,1,54,62,60,0,NA
S0140,EC,M,4,8.23,78,72,63,48,2,0,4,60,23,60,1,DevOps
S0141,CS,F,3,8.97,81,88,80,94,2,0,1,37,83,41,1,SDE
S0142,CS,M,3,7.62,90,68,99,57,0,0,1,63,72,53,0,NA
S0143,IT,F,3,7.28,64,73,44,42,1,0,0,46,56,38,0,NA
S0144,EC,F,3,5.62,86,55,68,63,0,0,2,44,60,46,0,NA
S0145,CE,F,3,5.7,69,62,66,36,3,0,0,77,70,65,1,SDE
S0146,EC,M,4,6.67,62,50,57,81,0,0,0,50,71,69,0,NA
S0147,CE,M,4,8.68,67,76,88,70,0,1,0,72,65,72,1,SDE
S0148,CS,F,3,5.8,78,99,49,27,3,0,1,74,50,43,0,NA
S0149,ME,M,4,8.03,89,42,58,31,2,0,0,83,31,54,0,NA
S0150,EC,F,4,6.54,80,63,59,37,0,0,0,84,59,76,0,NA
S0151,EC,F,2,9.39,80,76,58,58,2,0,1,50,36,50,0,NA
S0152,CE,M,4,8.2,81,88,78,60,1,0,0,68,89,86,0,NA
S0153,IT,F,2,7.28,97,50,50,38,2,0,0,42,68,30,0,NA
S0154,EC,M,2,7.79,93,98,90,58,0,0,1,34,77,63,0,NA
S0155,CE,M,3,7.81,81,73,63,68,1,0,3,52,48,51,1,QA
S0156,IT,M,4,6.9,98,32,100,82,3,0,1,64,100,70,0,NA
S0157,CE,M,4,8.09,55,80,75,61,3,0,0,52,60,65,1,IT Support
S0158,EC,F,3,6.96,93,72,77,68,4,0,1,48,52,41,1,SDE
S0159,IT,M,2,6.71,81,35,67,60,2,0,1,43,54,42,0,NA
S0160,IT,M,3,7.35,92,62,78,39,3,0,0,57,58,58,1,Data Analyst
S0161,CS,M,3,9.3,97,79,69,72,3,0,1,40,48,55,1,SDE
S0162,IT,M,4,6.98,86,52,85,64,0,0,1,59,84,52,1,QA
S0163,CS,M,4,7.23,77,77,57,73,3,1,0,46,64,79,1,IT Support
S0164,ME,M,4,8.92,94,89,98,67,0,0,2,63,87,63,1,DevOps
S0165,ME,M,4,6.06,62,52,37,46,2,1,0,57,37,72,0,NA
S0166,CE,M,3,8.17,74,47,86,69,1,0,1,41,79,53,1,DevOps
S0167,IT,M,3,6.96,83,65,46,67,0,0,0,49,53,31,0,NA
S0168,ME,M,2,9.91,92,79,77,62,1,1,3,70,66,67,1,Data Analyst
S0169,CS,F,2,7.6,100,49,42,57,1,1,2,61,30,50,1,SDE
S0170,ME,M,3,6.76,77,88,61,48,6,0,0,59,49,50,1,Data Analyst
S0171,CS,M,4,7.89,99,74,63,40,1,0,1,91,63,64,0,NA
S0172,IT,M,4,6.41,83,62,71,61,1,0,2,27,59,43,1,DevOps
S0173,IT,F,2,6.08,82,53,70,37,1,0,2,69,58,53,0,NA
S0174,CE,F,2,7.42,72,52,82,84,0,0,2,83,67,89,1,Data Analyst
S0175,EC,M,2,7.97,92,67,55,57,1,0,1,50,48,66,0,NA
S0176,IT,M,3,7.75,86,70,80,80,0,0,0,48,65,71,1,QA
S0177,IT,M,4,5.97,85,63,55,34,1,1,0,99,53,63,0,NA
S0178,ME,M,4,7.31,94,64,94,44,1,0,1,59,69,58,1,QA
S0179,ME,M,2,7.94,89,88,51,67,0,1,1,83,52,74,1,IT Support
S0180,CE,F,3,8.19,59,59,53,42,0,0,1,45,62,51,0,NA
S0181,ME,F,3,5.77,78,76,39,47,2,1,1,69,63,67,1,SDE
S0182,CE,M,4,9.3,88,83,68,69,0,0,1,62,80,73,1,IT Support
S0183,IT,M,4,9.5,100,86,76,70,3,0,1,77,66,78,1,Data Analyst
S0184,EC,M,3,7.94,92,76,100,66,1,1,1,73,82,74,1,QA
S0185,CS,F,2,8.39,90,79,74,61,2,1,1,46,61,44,1,DevOps
S0186,ME,M,4,7.88,93,59,84,80,2,0,0,98,60,93,1,SDE
S0187,IT,M,4,8.75,69,92,59,48,1,0,1,56,51,46,0,NA
S0188,CE,M,2,8.89,96,56,85,86,0,0,0,50,89,67,1,SDE
S0189,CS,F,2,6.17,85,83,48,46,1,0,0,94,26,68,0,NA
S0190,IT,M,4,7.71,85,57,72,53,2,0,0,54,76,63,0,NA
S0191,ME,M,4,6.38,75,77,66,68,0,0,2,66,67,64,1,DevOps
S0192,CS,F,2,8.07,84,87,65,68,1,0,1,39,70,55,1,DevOps
S0193,CE,M,3,7.06,68,91,90,45,1,0,2,73,58,52,1,QA
S0194,EC,F,3,9.21,81,100,96,72,3,0,2,69,81,64,0,NA
S0195,CE,M,4,8.57,100,61,49,61,2,0,1,74,78,59,0,NA
S0196,ME,M,2,7.02,67,54,65,71,0,1,1,59,59,60,1,QA
S0197,ME,M,4,8.29,88,80,90,60,1,0,1,47,87,48,0,NA
S0198,CS,F,2,8.05,82,68,77,63,2,0,1,15,74,35,0,NA
S0199,ME,F,3,7.67,86,62,97,49,1,0,0,67,74,75,1,SDE
S0200,ME,F,4,6.79,72,60,58,95,0,0,1,68,88,100,0,NA
S0201,ME,F,2,8.84,61,90,95,66,2,0,0,34,69,52,1,SDE
S0202,CS,F,2,7.93,76,62,47,54,1,0,1,63,81,47,0,NA
S0203,CS,F,2,6.4,93,80,63,65,1,1,1,66,54,64,1,QA
S0204,EC,F,3,7.22,94,73,67,63,0,0,1,48,52,48,1,SDE
S0205,EC,F,3,6.88,83,55,24,65,1,0,1,85,47,90,1,QA
S0206,EC,M,4,7.96,99,80,84,65,0,0,2,88,76,75,0,NA
S0207,CE,M,2,7.7,88,93,88,67,1,0,1,78,69,62,1,IT Support
S0208,EC,M,4,7.13,70,65,82,49,3,0,0,90,67,75,1,QA
S0209,CS,M,3,6.68,78,48,75,39,4,0,1,72,51,54,1,Data Analyst
S0210,ME,F,4,7.85,69,70,65,70,1,1,3,53,59,62,1,SDE
S0211,ME,F,2,8.26,91,56,68,60,2,0,0,57,80,64,1,IT Support
S0212,CE,F,4,7.89,95,99,88,68,3,0,1,80,86,75,0,NA
S0213,ME,M,3,7.87,63,78,86,55,2,0,1,62,94,58,0,NA
S0214,CS,M,2,6.19,93,67,41,37,2,1,0,67,57,60,0,NA
S0215,IT,M,3,6.52,100,46,56,33,3,0,0,70,34,50,0,NA
S0216,CE,M,2,6.37,91,71,46,69,1,1,2,47,51,56,0,NA
S0217,IT,F,2,7.84,88,59,66,50,1,0,0,45,37,42,0,NA
S0218,IT,F,2,6.3,74,54,54,46,1,0,1,34,60,36,1,IT Support
S0219,ME,M,3,7.47,76,75,35,48,1,0,1,66,31,56,0,NA
S0220,IT,F,3,8.42,79,70,62,85,2,1,0,53,88,70,0,NA
S0221,CS,M,2,7.22,93,65,41,54,2,1,1,94,66,71,1,DevOps
S0222,EC,M,2,7.76,72,63,100,48,1,0,0,73,58,63,1,IT Support
S0223,ME,F,4,6.89,79,56,79,46,1,0,0,64,76,56,0,NA
S0224,EC,M,2,8.02,75,59,58,53,0,0,3,70,53,49,0,NA
S0225,CE,F,4,7.47,75,53,55,62,1,1,0,56,25,54,0,NA
S0226,EC,M,3,8.67,81,64,55,94,2,0,0,64,49,96,0,NA
S0227,CS,F,4,5.95,81,63,42,43,2,1,0,49,33,53,0,NA
S0228,CS,F,2,8.24,86,61,69,83,0,0,0,62,77,75,0,NA
S0229,ME,F,4,8.2,70,53,92,70,0,0,1,70,92,80,0,NA
S0230,CS,M,2,6.9,82,39,57,73,1,0,1,50,51,64,0,NA
S0231,CS,F,4,7.59,55,65,39,72,4,0,0,75,63,62,1,SDE
S0232,CE,F,2,8.43,82,89,53,45,0,0,1,47,53,40,0,NA
S0233,ME,M,2,7.44,66,78,38,36,0,0,1,55,47,58,0,NA
S0234,CS,M,3,7.76,97,79,74,36,0,1,1,40,41,62,1,QA
S0235,IT,F,2,7.65,78,74,100,40,3,1,1,71,65,74,1,SDE
S0236,ME,M,4,6.08,91,32,77,68,1,0,1,68,54,39,0,NA
S0237,ME,M,2,6.94,71,71,72,49,1,0,2,15,60,26,0,NA
S0238,CE,M,3,7.95,75,70,78,57,1,0,2,63,76,39,1,QA
S0239,CS,F,2,7.9,89,46,95,59,1,0,1,54,62,52,1,Data Analyst
S0240,ME,M,3,6.3,82,63,79,63,2,1,3,28,88,39,1,SDE
S0241,EC,M,3,6.77,100,75,73,65,2,0,1,55,68,72,0,NA
S0242,EC,F,3,8.17,67,67,70,83,1,1,2,46,77,61,1,QA
S0243,CE,F,2,6.77,88,44,73,68,1,0,1,22,60,42,1,IT Support
S0244,ME,M,2,8.55,100,65,63,66,2,0,1,52,65,54,1,IT Support
S0245,CE,F,4,6.82,95,65,54,62,1,0,0,58,55,67,0,NA
S0246,CS,M,3,7.4,78,73,75,51,2,0,0,45,71,40,1,IT Support
S0247,EC,F,4,4.59,81,37,21,32,3,0,0,62,20,29,0,NA
S0248,CE,F,3,9.07,76,83,56,66,1,0,1,53,72,64,0,NA
S0249,CE,M,3,7.12,96,72,53,78,0,0,1,37,72,68,0,NA
S0250,ME,F,2,7.09,92,99,54,34,1,1,0,22,46,32,0,NA
S0251,CE,M,2,8.97,87,84,63,68,0,0,3,52,76,76,0,NA
S0252,CE,F,2,8.24,100,46,62,48,1,0,1,74,67,64,1,QA
S0253,CS,F,3,6.65,97,74,62,53,0,0,0,19,58,33,0,NA
S0254,CE,M,2,6.22,86,76,37,57,1,0,0,78,26,78,0,NA
S0255,CE,M,3,6.43,82,47,80,91,5,0,0,64,93,66,1,IT Support
S0256,ME,M,3,7.26,85,52,87,74,1,0,3,98,98,79,0,NA
S0257,CS,F,2,6.58,98,80,64,60,1,0,1,71,45,59,1,QA
S0258,CE,M,4,6.87,82,85,20,70,1,0,2,66,49,58,1,DevOps
S0259,CE,F,3,9.23,92,91,93,65,2,0,0,81,100,62,0,NA
S0260,ME,M,4,7.2,82,100,54,45,0,0,1,61,57,40,0,NA
S0261,CS,F,2,7.5,79,51,83,77,4,0,1,29,86,70,1,QA
S0262,ME,F,4,7.13,83,77,83,81,1,0,2,36,84,48,0,NA
S0263,CS,M,4,6.91,83,65,26,59,2,0,0,40,39,59,0,NA
S0264,CS,F,2,6.79,100,56,66,66,0,0,1,62,45,53,1,DevOps
S0265,CS,M,4,6.38,81,49,73,62,2,0,2,46,77,55,0,NA
S0266,IT,M,2,6.73,80,60,42,44,4,0,3,63,49,45,1,QA
S0267,IT,M,3,7.94,59,79,72,58,2,1,0,100,57,87,1,SDE
S0268,IT,M,4,9.49,76,69,77,75,1,0,0,64,81,73,1,Data Analyst
S0269,IT,M,3,8.64,79,92,78,81,1,1,1,71,86,63,1,DevOps
S0270,ME,F,2,8.9,90,51,78,53,1,0,0,64,59,57,1,SDE
S0271,IT,M,4,4.57,100,69,43,55,0,0,1,36,50,55,0,NA
S0272,ME,M,3,9.6,90,70,95,41,2,1,0,62,79,30,1,DevOps
S0273,EC,M,2,6.39,100,22,55,59,1,0,0,70,64,74,0,NA
S0274,CE,M,4,8.32,84,68,66,77,1,1,1,47,53,44,0,NA
S0275,CE,M,4,8.0,79,88,55,83,3,0,0,25,84,31,1,IT Support
S0276,ME,M,4,7.66,85,74,54,42,0,1,3,54,64,36,1,IT Support
S0277,IT,F,3,5.67,74,80,90,63,2,0,0,35,90,42,0,NA
S0278,ME,M,3,8.38,74,92,78,72,1,0,1,89,52,81,1,Data Analyst
S0279,EC,F,2,5.66,84,67,59,57,0,0,1,34,69,46,0,NA
S0280,ME,M,3,8.44,86,90,80,86,2,0,0,51,73,57,1,QA
S0281,CS,F,3,5.94,100,48,62,37,0,0,1,61,65,60,0,NA
S0282,CS,F,2,9.8,70,97,100,52,1,0,1,80,70,62,0,NA
S0283,CS,M,2,9.55,85,89,66,48,1,1,2,81,65,71,1,DevOps
S0284,EC,M,2,7.4,89,72,52,65,0,0,0,92,81,69,0,NA
S0285,EC,F,3,7.0,70,52,53,59,1,1,1,61,54,64,1,SDE
S0286,ME,M,2,7.48,77,63,59,73,1,1,2,48,69,61,0,NA
S0287,ME,M,2,7.51,64,69,100,61,2,1,0,45,94,60,1,DevOps
S0288,IT,F,3,7.36,88,82,82,46,1,0,1,76,59,71,1,QA
S0289,CE,F,2,7.68,97,77,53,94,3,0,3,65,77,85,1,Data Analyst
S0290,CS,M,3,8.43,82,88,99,53,1,1,1,43,76,45,0,NA
S0291,CS,M,2,6.06,71,64,20,66,1,0,1,56,45,55,0,NA
S0292,CE,M,2,5.86,67,49,68,68,1,0,2,81,77,73,0,NA
S0293,ME,M,2,6.09,80,67,71,63,2,0,0,54,84,43,0,NA
S0294,CE,F,2,7.39,80,58,87,92,3,1,2,47,92,53,0,NA
S0295,ME,F,4,6.52,98,72,52,72,0,0,0,50,64,47,0,NA
S0296,EC,F,2,5.67,72,27,55,55,0,0,0,53,50,56,0,NA
S0297,CS,M,3,7.68,98,77,61,63,0,0,5,55,50,48,1,IT Support
S0298,ME,M,4,8.43,62,79,57,50,2,0,0,42,43,46,1,IT Support
S0299,CE,F,3,7.0,84,62,72,69,0,1,0,57,69,64,0,NA
S0300,EC,M,2,8.7,70,67,69,64,1,0,0,77,49,83,1,SDE
S0301,ME,M,4,8.74,88,59,69,51,0,0,2,45,54,53,0,NA
S0302,EC,F,3,6.98,89,84,44,50,1,0,0,56,41,45,1,IT Support
S0303,CE,M,2,6.44,84,69,57,68,2,0,0,43,49,40,0,NA
S0304,ME,M,2,7.88,83,78,97,62,0,0,2,26,78,49,1,QA
S0305,CS,M,3,8.2,82,93,79,54,2,1,3,81,62,78,1,DevOps
S0306,CS,M,2,9.17,75,100,72,81,0,0,1,31,88,47,1,QA
S0307,EC,M,2,6.62,59,63,79,47,1,0,0,76,72,49,0,NA
S0308,ME,M,4,6.32,86,71,88,77,2,0,0,75,94,70,0,NA
S0309,CE,F,3,6.9,61,58,80,71,0,0,0,68,79,87,0,NA
S0310,EC,M,4,6.92,78,63,60,75,1,1,2,63,60,72,1,DevOps
S0311,IT,M,3,9.98,97,62,89,86,4,0,2,30,100,46,1,QA
S0312,ME,F,3,6.09,85,52,68,58,1,0,1,43,38,50,0,NA
S0313,EC,M,4,7.47,79,76,63,60,2,1,1,54,60,41,1,Data Analyst
S0314,ME,M,4,7.01,91,65,39,40,0,0,1,63,38,45,0,NA
S0315,CS,M,3,6.98,69,63,54,83,1,0,0,96,71,86,0,NA
S0316,CE,M,4,9.1,93,88,52,40,1,0,1,3,56,21,0,NA
S0317,EC,M,4,5.88,87,73,50,67,0,0,1,100,49,85,0,NA
S0318,ME,F,4,7.62,92,71,50,49,4,0,0,88,51,71,0,NA
S0319,CS,M,4,6.59,79,60,91,73,0,0,1,33,78,49,0,NA
S0320,CE,F,4,9.18,65,95,74,74,2,1,3,61,72,69,1,DevOps
S0321,CS,M,3,8.52,92,82,88,62,0,0,4,47,71,68,0,NA
S0322,ME,M,3,6.82,74,55,89,48,1,0,0,100,53,73,1,SDE
S0323,IT,M,3,6.89,83,78,68,65,1,0,1,38,63,52,1,Data Analyst
S0324,CE,F,3,7.44,88,80,67,69,3,0,2,92,67,91,1,SDE
S0325,EC,M,3,5.3,98,52,60,62,0,1,1,85,74,72,1,DevOps
S0326,CS,F,2,7.2,82,80,53,34,0,0,1,56,43,48,1,SDE
S0327,EC,M,4,7.4,94,52,85,62,1,0,1,37,78,52,1,IT Support
S0328,IT,F,3,5.79,100,72,53,53,3,0,0,74,33,69,1,QA
S0329,CE,M,3,7.61,78,75,20,38,0,0,2,37,39,38,1,Data Analyst
S0330,CS,F,4,7.55,90,95,59,63,1,0,3,23,63,27,0,NA
S0331,CE,M,3,7.78,85,45,94,56,1,0,2,70,52,71,0,NA
S0332,IT,M,3,6.74,77,37,64,20,3,0,2,71,32,43,0,NA
S0333,CE,F,4,8.5,82,83,68,59,1,0,0,69,61,58,1,SDE
S0334,CE,M,3,7.4,65,51,56,38,2,0,2,17,41,29,0,NA
S0335,EC,F,2,6.68,91,61,84,57,1,0,0,53,80,76,1,IT Support
S0336,IT,M,4,6.52,77,56,37,39,1,1,2,74,35,51,1,QA
S0337,CS,M,3,9.03,85,76,79,83,1,0,0,39,60,51,1,Data Analyst
S0338,IT,M,3,6.74,95,54,79,88,2,0,2,51,88,85,1,DevOps
S0339,IT,F,4,5.44,81,71,59,88,1,0,1,80,73,70,0,NA
